id,month,title,description,status,progress,dueDate
obj-m1-1,1,Weekly 1:1 with every direct report,Establish a consistent weekly 1:1 cadence with all 5 reports.,Completed,100,2026-04-13
obj-m1-2,1,First Weekly Report,Produce and submit the first manager-owned weekly team report.,Completed,100,2026-03-28
obj-m1-3,1,Delegation,Delegate recurring execution tasks and define ownership clearly.,Completed,100,2026-04-13
obj-m1-4,1,Campaign QA Process,Stand up a repeatable pre-launch campaign QA process for the team.,Completed,100,2026-04-10
obj-m1-5,1,Daily PMKT Meeting,Run a short daily Performance Marketing stand-up.,Completed,100,2026-04-13
obj-m2-1,2,PMKT Presentation,Lead a Performance Marketing presentation to stakeholders.,Completed,100,2026-05-02
obj-m2-2,2,Performance Check-in,Run structured monthly performance check-ins per report.,Completed,100,2026-05-13
obj-m2-3,2,Independent Client Sync,Handle client syncs without senior supervision.,In Progress,70,2026-05-13
obj-m2-4,2,Assessment Participation,Actively participate in project assessments & forecasting.,Completed,100,2026-05-10
obj-m3-1,3,Independent Operations,Run team operations end-to-end with minimal escalation.,In Progress,65,2026-06-13
obj-m3-2,3,Client Meeting Leadership,Lead client meetings as the primary owner.,In Progress,50,2026-06-13
obj-m3-3,3,Assessment Completion,Own a full assessment cycle from forecast to actual review.,In Progress,60,2026-06-13
obj-m3-4,3,Coaching Documentation,Document coaching notes & development plans for every report.,In Progress,75,2026-06-13
